timestamp,vibration,bearing_temperature,current
2025-01-01T00:00:00Z,1.9901,60.3259,21.1059
2025-01-01T00:05:00Z,1.9803,60.1934,21.2385
2025-01-01T00:10:00Z,2.0391,60.3313,21.1110
2025-01-01T00:15:00Z,1.9863,60.0893,21.1035
2025-01-01T00:20:00Z,2.0474,59.7575,21.0827
2025-01-01T00:25:00Z,2.0449,60.2639,21.4750
2025-01-01T00:30:00Z,1.9866,60.4459,21.2070
2025-01-01T00:35:00Z,2.1733,59.9650,21.5349
2025-01-01T00:40:00Z,2.0988,60.3812,21.5612
2025-01-01T00:45:00Z,2.0731,60.2523,21.3785
2025-01-01T00:50:00Z,2.0619,60.5240,21.2286
2025-01-01T00:55:00Z,2.0990,60.7294,21.6345
2025-01-01T01:00:00Z,2.1336,60.4334,21.6157
2025-01-01T01:05:00Z,2.1135,60.1907,21.5097
2025-01-01T01:10:00Z,2.1724,60.3800,21.5726
2025-01-01T01:15:00Z,2.0041,60.6594,21.4766
2025-01-01T01:20:00Z,2.1465,60.5295,21.7129
2025-01-01T01:25:00Z,2.1124,60.4172,21.5901
2025-01-01T01:30:00Z,2.1837,60.7144,21.7998
2025-01-01T01:35:00Z,2.0059,60.4354,21.9856
2025-01-01T01:40:00Z,2.1540,60.4720,21.7605
2025-01-01T01:45:00Z,2.1478,60.8245,21.7231
2025-01-01T01:50:00Z,2.0164,61.1915,21.7924
2025-01-01T01:55:00Z,2.1638,60.6843,21.7894
2025-01-01T02:00:00Z,2.0475,60.9086,21.9245
2025-01-01T02:05:00Z,2.0692,60.8488,21.6913
2025-01-01T02:10:00Z,2.0393,60.7424,21.9276
2025-01-01T02:15:00Z,2.0192,61.1459,21.7684
2025-01-01T02:20:00Z,2.0136,61.0641,21.8620
2025-01-01T02:25:00Z,2.0149,60.6540,21.8159
2025-01-01T02:30:00Z,1.9956,61.3499,21.6635
2025-01-01T02:35:00Z,1.9403,61.0306,21.6610
2025-01-01T02:40:00Z,1.8791,60.9378,21.5969
2025-01-01T02:45:00Z,2.0455,61.3675,21.8462
2025-01-01T02:50:00Z,1.9116,61.0490,21.5993
2025-01-01T02:55:00Z,1.9609,61.1682,21.4931
