timestamp,compressor_pressure,pneumatic_panel_pressure,oil_temperature,motor_current
2020-04-10T01:00:00+00:00,-0.015000,8.440667,53.437500,0.042500
2020-04-10T01:01:00+00:00,-0.015667,8.383667,53.179167,0.042500
2020-04-10T01:02:00+00:00,-0.015333,8.328667,52.904167,0.042083
2020-04-10T01:03:00+00:00,-0.015333,8.273000,52.683333,0.042500
2020-04-10T01:04:00+00:00,-0.015333,8.219000,52.445833,0.042500
2020-04-10T01:05:00+00:00,-0.016000,8.164000,52.183333,0.042500
2020-04-10T01:06:00+00:00,-0.015000,8.111000,51.983333,0.043333
2020-04-10T01:07:00+00:00,5.540000,8.226333,51.795833,3.910417
2020-04-10T01:08:00+00:00,9.781667,9.343333,54.637500,6.122083
2020-04-10T01:09:00+00:00,2.871143,10.032286,61.103571,4.513571
2020-04-10T01:10:00+00:00,-0.016333,9.883333,64.545833,3.920417
2020-04-10T01:11:00+00:00,-0.014333,9.784333,63.666667,3.924583
2020-04-10T01:12:00+00:00,-0.014000,9.703000,62.195833,3.875833
2020-04-10T01:13:00+00:00,-0.013333,9.626000,61.862500,3.878333
2020-04-10T01:14:00+00:00,-0.012667,9.553667,61.245833,3.866250
2020-04-10T01:15:00+00:00,-0.012667,9.484667,61.045833,3.890417
2020-04-10T01:16:00+00:00,-0.012667,9.414000,60.558333,0.045833
2020-04-10T01:17:00+00:00,-0.013000,9.343333,58.650000,0.045000
2020-04-10T01:18:00+00:00,-0.013667,9.274000,57.408333,0.044167
2020-04-10T01:19:00+00:00,-0.014000,9.205667,56.670833,0.044583
2020-04-10T01:20:00+00:00,-0.014000,9.137667,56.187500,0.043750
2020-04-10T01:21:00+00:00,-0.013333,9.071667,55.845833,0.043750
2020-04-10T01:22:00+00:00,-0.014000,9.005667,55.475000,0.042917
2020-04-10T01:23:00+00:00,-0.014000,8.940000,55.091667,0.042500
2020-04-10T01:24:00+00:00,-0.014000,8.875000,54.762500,0.042917
2020-04-10T01:25:00+00:00,-0.014000,8.812000,54.554167,0.042917
2020-04-10T01:26:00+00:00,-0.014667,8.750000,54.233333,0.043333
2020-04-10T01:27:00+00:00,-0.015000,8.689333,53.937500,0.042917
2020-04-10T01:28:00+00:00,-0.014333,8.629333,53.633333,0.042917
2020-04-10T01:29:00+00:00,-0.014857,8.566000,53.296429,0.042857
2020-04-10T01:30:00+00:00,-0.014000,8.502333,53.100000,0.043333
2020-04-10T01:31:00+00:00,-0.015000,8.445333,52.887500,0.042500
2020-04-10T01:32:00+00:00,-0.015000,8.389667,52.587500,0.042917
2020-04-10T01:33:00+00:00,-0.014333,8.333333,52.341667,0.042917
2020-04-10T01:34:00+00:00,-0.015333,8.277333,52.062500,0.042500
2020-04-10T01:35:00+00:00,-0.015000,8.223667,51.841667,0.042500
2020-04-10T01:36:00+00:00,-0.015667,8.169000,51.625000,0.042917
2020-04-10T01:37:00+00:00,-0.015333,8.115333,51.416667,0.042500
2020-04-10T01:38:00+00:00,4.947667,8.187667,51.195833,3.811667
2020-04-10T01:39:00+00:00,9.662000,9.268667,53.879167,6.108750
2020-04-10T01:40:00+00:00,4.935000,10.050667,60.154167,4.995417
2020-04-10T01:41:00+00:00,-0.018667,9.947667,63.708333,3.881250
2020-04-10T01:42:00+00:00,-0.014667,9.840667,63.995833,3.879167
2020-04-10T01:43:00+00:00,-0.013333,9.755667,62.216667,3.868333
2020-04-10T01:44:00+00:00,-0.013000,9.677667,61.554167,3.895000
2020-04-10T01:45:00+00:00,-0.013000,9.605667,60.983333,3.896667
2020-04-10T01:46:00+00:00,-0.012667,9.536000,60.679167,3.887083
2020-04-10T01:47:00+00:00,-0.013143,9.460286,60.425000,1.132857
2020-04-10T01:48:00+00:00,-0.012667,9.383000,58.745833,0.045000
2020-04-10T01:49:00+00:00,-0.013000,9.312667,57.337500,0.044167
2020-04-10T01:50:00+00:00,-0.013333,9.244333,56.545833,0.043750
2020-04-10T01:51:00+00:00,-0.014000,9.175333,56.062500,0.042917
2020-04-10T01:52:00+00:00,-0.013667,9.108667,55.675000,0.042500
2020-04-10T01:53:00+00:00,-0.014000,9.042000,55.266667,0.043333
2020-04-10T01:54:00+00:00,-0.014667,8.976333,54.954167,0.042500
2020-04-10T01:55:00+00:00,-0.014000,8.911333,54.600000,0.042500
2020-04-10T01:56:00+00:00,-0.014333,8.847333,54.275000,0.042500
2020-04-10T01:57:00+00:00,-0.014000,8.785000,53.966667,0.042500
2020-04-10T01:58:00+00:00,-0.014333,8.724000,53.725000,0.042917
2020-04-10T01:59:00+00:00,-0.014000,8.663000,53.450000,0.042500
2020-04-10T02:00:00+00:00,-0.014000,8.603333,53.150000,0.042917
2020-04-10T02:01:00+00:00,-0.015000,8.545000,52.875000,0.042500
2020-04-10T02:02:00+00:00,-0.015333,8.487333,52.654167,0.042917
2020-04-10T02:03:00+00:00,-0.014333,8.410333,52.429167,0.042500
2020-04-10T02:04:00+00:00,-0.014000,8.326000,52.137500,0.041667
2020-04-10T02:05:00+00:00,-0.014333,8.272000,51.904167,0.042083
2020-04-10T02:06:00+00:00,-0.014857,8.214000,51.650000,0.041429
2020-04-10T02:07:00+00:00,-0.016000,8.156333,51.395833,0.042500
2020-04-10T02:08:00+00:00,-0.015000,8.103000,51.141667,0.042500
2020-04-10T02:09:00+00:00,6.611333,8.303333,51.054167,4.808750
2020-04-10T02:10:00+00:00,9.742000,9.440000,54.533333,6.136250
2020-04-10T02:11:00+00:00,1.726667,10.048000,60.720833,4.340417
2020-04-10T02:12:00+00:00,-0.016333,9.896000,64.054167,3.919583
2020-04-10T02:13:00+00:00,-0.014000,9.795667,63.662500,3.827500
2020-04-10T02:14:00+00:00,-0.013000,9.714333,61.600000,3.811667
2020-04-10T02:15:00+00:00,-0.013667,9.638333,61.154167,3.797917
2020-04-10T02:16:00+00:00,-0.013333,9.568000,60.666667,3.826667
2020-04-10T02:17:00+00:00,-0.013000,9.498333,60.541667,3.806667
2020-04-10T02:18:00+00:00,-0.013333,9.427667,60.250000,0.048333
2020-04-10T02:19:00+00:00,-0.013333,9.358667,58.345833,0.044583
2020-04-10T02:20:00+00:00,-0.013667,9.288667,56.979167,0.042917
